2026-05-02T15:20:30.608351+00:00 | APPROVED | $5.00 | pending
2026-05-02T15:22:42.861132+00:00 | APPROVED | $5.00 | pending
2026-05-02T15:23:31.752418+00:00 | APPROVED | $5.00 | pending
2026-05-02T15:27:28.357416+00:00 | APPROVED | $5.00 | pending
2026-05-02T15:29:57.003949+00:00 | APPROVED | $5.00 | pending
2026-05-02T15:32:48.029976+00:00 | APPROVED | $5.00 | pending
2026-05-02T15:34:42.408344+00:00 | APPROVED | $5.00 | pending
2026-05-02T15:37:06.130321+00:00 | APPROVED | $5.00 | pending
2026-05-02T15:40:57.185245+00:00 | APPROVED | $0.01 | pending
2026-05-02T15:59:09.510363+00:00 | APPROVED | $5.00 | 0x4a0da4c60943edd7091d1220114adae54c6a41f27b1ac43ab25f19ff78ca2b65
2026-05-02T16:05:13.066569+00:00 | APPROVED | $0.01 | 0xbe95c7eb8f0c77fffe63f29c24ba8245b5750f78a2055f0abc8408889357dd9a
2026-05-02T16:06:24.626467+00:00 | APPROVED | $0.01 | 0x7e5058bbf62f9a6b4e548e7408e78b0116ac23619d96d48363f187f15bf99d79
2026-05-02T20:24:56.641993+00:00 | APPROVED | $5.00 | 0x41e72392ca3356a7442ae0266fc034cf5dadfd4b3fbc6babcf8fd8012aeefee2
2026-05-02T21:17:01.946340+00:00 | APPROVED | $0.01 | 0x087b5c38f84b568081d9d4bd59bbe710760ca97e25d8ccd0557619ea23ff7ede
